ind,key,docs,classification,class,category_map,real_cat,label,scores,real_final,pred_final
122,Calendar_clone,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
125,SQLiteCursor_getColumnNames,a cursor implementation that exposes results from a query on a sql lite database  sql lite cursor is not internally synchronized so code using a sql lite cursor from multiple threads should perform its own synchronization when using the sql lite cursor,source,SQLiteCursor,database,database,database information,0.3935067057609558,database,database
126,LocationManager_getAllProviders,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
129,LocationManager_isProviderEnabled,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",source,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
131,Virtualizer_setStrength,"an audio virtualizer is a general name for an effect to spatialize audio channels  the exact behavior of this effect is dependent on the number of audio input channels and the types and number of audio output channels of the device  for example, in the case of a stereo input and stereo headphone output, a stereo widening effect is used when this effect is turned on",sink,Virtualizer,audio,audio,audio information,0.28652897477149963,audio,audio
136,URLConnection_getHeaderFields,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
142,ClassLoader_getSystemClassLoader,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
147,AudioTrack_getNotificationMarkerPosition,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
149,Binder_dumpAsync,"base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files,files,media,0.14000758528709412,files,media
153,Log_d,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
154,LocationManager_setTestProviderLocation,"this class provides access to the system location services  these services allow applications to obtain periodic updates of the device's geographical location, or to be notified when the device enters the proximity of a given geographical location",sink,LocationManager,geolocation,geolocation,geographical location,0.26633143424987793,geolocation,geolocation
157,DatagramSocket_getSendBufferSize,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
158,TrafficStats_getMobileTxBytes,"class that provides network traffic statistics  these statistics include bytes transmitted and received and network packets transmitted and received, over all interfaces, over the mobile interface, and on a per uid basis",source,TrafficStats,network information,network connection,network information,0.5945941209793091,network,network
160,CalendarView_setMaxDate,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,sink,CalendarView,no category,calendar information,calendar information,0.9322941303253174,calendar,calendar
163,WallpaperManager_setStream,"provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.2319435179233551,media,media
171,WifiP2pManager_requestPeers,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
175,Calendar_getActualMinimum,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
177,PresetReverb_setPreset,"a sound generated within a room travels in many directions  the listener first hears the direct sound from the source itself  later, he or she hears discrete echoes caused by sound bouncing off nearby walls, the ceiling and the floor  as sound waves arrive after undergoing more and more reflections, individual reflections become indistinguishable and the listener hears continuous reverberation that decays over time  reverb is vital for modeling a listener's environment  it can be used in music applications to simulate music being played back in various environments, or in games to immerse the listener within the game's environment  the preset reverb class allows an application to configure the global reverb using a reverb preset  this is primarily used for adding some reverb in a music playback context  applications requiring control over a more advanced environmental reverb are advised to use the environmental reverb class",sink,PresetReverb,audio,audio,audio information,0.3488469123840332,audio,audio
181,AccountManager_addOnAccountsUpdatedListener,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
183,Calendar_getTime,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
186,WifiP2pManager_createGroup,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
188,SQLiteDatabase_getAttachedDbs,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
189,SmsManager_sendMultipartTextMessage,"manages sms operations such as sending data, text, and pdu sms messages  get this object by calling the static method get default  to create an instance of sms manager associated with a specific subscription i d, call get sms manager for subscription id  this is typically used for devices that support multiple active subscriptions at once",sink,SmsManager,text message,system settings,text message,0.19001959264278412,system settings,text message
191,HttpURLConnection_getRequestMethod,a url connection with support for http specific features  see  the spec  for details,source,HttpURLConnection,no category,network connection,network information,0.433342307806015,network,network
192,DatagramSocket_getTrafficClass,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
193,IsoDep_getHistoricalBytes,provides access to iso dep  properties and i/ o operations on a tag,source,IsoDep,nfc information,nfc information,media,0.11158380657434464,nfc,media
200,AudioTrack_setPositionNotificationPeriod,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
201,AudioManager_setParameters,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
206,ClassLoader_getResources,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
209,AccountManager_peekAuthToken,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
212,DownloadManager_query,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,files,media,0.15537405014038086,files,media
213,BackupAgent_onRestoreFile,"provides the central interface between an application and android's data backup infrastructure   an application that wishes to participate in the backup and restore mechanism will declare a subclass of backup agent, implement the on backup and on restore methods, and provide the name of its backup agent class in its android manifest xml file via the <application> tag's android:backup agent attribute",sink,BackupAgent,files,files,media,0.14853502810001373,files,media
215,Log_println,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
216,AudioManager_setStreamVolume,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
217,Calendar_setTime,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",sink,Calendar,no category,calendar,calendar information,0.5930222272872925,calendar,calendar
218,ClassLoader_getSystemResource,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
220,NfcF_getManufacturer,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
226,SQLiteDatabase_rawQueryWithFactory,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
228,AccountManager_removeAccount,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
236,WifiP2pManager_requestConnectionInfo,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
238,ClassLoader_getParent,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
240,UiModeManager_enableCarMode,this class provides access to the system uimode services   these services allow applications to control ui modes of the device  it provides functionality to disable the car mode and it gives access to the night mode settings,sink,UiModeManager,log,system settings,system settings,0.4368226230144501,system settings,system settings
242,DownloadManager_getUriForDownloadedFile,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,files,files,media,0.15537405014038086,files,media
245,WifiP2pManager_discoverPeers,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
247,SSLContext_getServerSessionContext,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.272289901971817,network,network
248,GregorianCalendar_getActualMinimum,"[icu enhancement] icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.6298852562904358,calendar,calendar
250,NsdManager_resolveService,"the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.31675270199775696,network,network
251,DatagramSocket_setReceiveBufferSize,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
255,AudioTrack_getChannelConfiguration,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",source,AudioTrack,no category,audio,audio information,0.5860240459442139,audio,audio
256,NsdManager_registerService,"the network service discovery manager class provides the api to discover services on a network  as an example, if device a and device b are connected over a wifi network, a game registered on device a can be discovered by a game on device b  another example use case is an application discovering printers on the network",sink,NsdManager,network connection,network connection,network information,0.31675270199775696,network,network
258,NfcF_getMaxTransceiveLength,provides access to nfc f  properties and i/ o operations on a tag,source,NfcF,nfc information,nfc information,nfc information,0.3207698166370392,nfc,nfc
265,LogPrinter_println,implementation of a printer that sends its output to the system log,sink,LogPrinter,log,log,logging,0.5688287019729614,log,log
270,SQLiteDatabase_setMaximumSize,exposes methods to manage a sql lite database,sink,SQLiteDatabase,no category,database,database information,0.5022838115692139,database,database
288,AccountManager_getAuthToken,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
292,ScanResult_writeToParcel,scan result for bluetooth le scan,sink,ScanResult,network connection,bluetooth,bluetooth,0.43305540084838867,bluetooth,bluetooth
294,SQLiteProgram_bindLong,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
295,SSLContext_getSocketFactory,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.272289901971817,network,network
302,SQLiteDatabase_getVersion,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
303,SSLParameters_getProtocols,"encapsulates parameters for an ssl/ tls connection  the parameters are the list of ciphersuites to be accepted in an ssl/ tls handshake, the list of protocols to be allowed, the endpoint identification algorithm during ssl/ tls handshaking, the server name indication , the algorithm constraints and whether ssl/ tls servers should request or require client authentication, etc",source,SSLParameters,network information,network connection,network information,0.3124198019504547,network,network
304,SSLEngine_getPeerPort,"a class which enables secure communications using protocols such as the secure sockets layer  or  ietf rfc 2246 "" transport layer security""   protocols, but is transport independent",source,SSLEngine,network information,network connection,nfc communication,0.13405247032642365,network,nfc
308,AudioManager_setMode,audio manager provides access to volume and ringer mode control,sink,AudioManager,audio,audio,audio information,0.5372056365013123,audio,audio
311,SSLContext_getProtocol,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network connection,network information,0.272289901971817,network,network
323,DatagramSocket_setBroadcast,this class represents a socket for sending and receiving datagram packets,sink,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
329,AccountManager_newChooseAccountIntent,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
330,CalendarView_getDateTextAppearance,this class is a calendar widget for displaying and selecting dates  the range of dates supported by this calendar is configurable,source,CalendarView,calendar information,calendar information,calendar information,0.9322941303253174,calendar,calendar
335,WebSettings_getJavaScriptEnabled,"manages settings state for a web view  when a web view is first created, it obtains a set of default settings  these default settings will be returned from any getter call  a web settings object obtained from web view get settings is tied to the life of the web view  if a web view has been destroyed, any method call on web settings will throw an illegal state exception",source,WebSettings,system settings,system settings,media,0.17008742690086365,system settings,media
337,WifiP2pManager_stopPeerDiscovery,"this class provides the api for managing wifi peer to peer connectivity  this lets an application discover available peers, setup connection to peers and query for the list of peers  when a p2p connection is formed over wifi, the device continues to maintain the uplink connection over mobile or any other available network for internet connectivity on the device",sink,WifiP2pManager,network connection,network connection,network connection,0.503187358379364,network,network
338,RandomAccessFile_setLength,"instances of this class support both reading and writing to a random access file  a random access file behaves like a large array of bytes stored in the file system  there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read  if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written  output operations that write past the current end of the implied array cause the array to be extended  the file pointer can be read by the get file pointer method and set by the seek method",sink,RandomAccessFile,files,files,media,0.13724027574062347,files,media
340,DatagramSocket_getLocalAddress,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
341,AccountManager_setPassword,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",sink,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
342,AudioTrack_setPlaybackRate,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
349,AccountManager_blockingGetAuthToken,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
350,SQLiteProgram_bindString,a base class for compiled sql lite programs,sink,SQLiteProgram,no category,database,database information,0.45033639669418335,database,database
354,AccountManager_getAccounts,"this class provides access to a centralized registry of the user's online accounts   the user enters credentials  once per account, granting applications access to online resources with ""one click"" approval",source,AccountManager,user account,user account,user information,0.39885786175727844,user account,user account
355,SSLContext_getServerSocketFactory,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.272289901971817,network,network
360,DownloadManager_getMimeTypeForDownloadedFile,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",source,DownloadManager,no category,files,media,0.15537405014038086,files,media
361,SSLSocket_getSSLParameters,"this class extends sockets and provides secure socket using protocols such as the "" secure sockets layer""  or ietf "" transport layer security""  protocols",source,SSLSocket,network information,network information,network information,0.25447994470596313,network,network
366,URLConnection_getConnectTimeout,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
368,SQLiteDatabase_openOrCreateDatabase,exposes methods to manage a sql lite database,sink,SQLiteDatabase,no category,database,database information,0.5022838115692139,database,database
369,ServerSocket_setSoTimeout,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
374,SQLiteDatabase_query,exposes methods to manage a sql lite database,source,SQLiteDatabase,database,database,database information,0.5022838115692139,database,database
377,Calendar_getActualMaximum,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
382,AudioTrack_setAuxEffectSendLevel,"the audio track class manages and plays a single audio resource for java applications  it allows streaming of pcm audio buffers to the audio sink for playback  this is achieved by ""pushing"" the data to the audio track object using one of the  write, write,  and write methods",sink,AudioTrack,audio,audio,audio information,0.5860240459442139,audio,audio
383,Log_v,api for sending log output,sink,Log,log,log,logging,0.4664452075958252,log,log
386,Calendar_getDisplayName,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
387,GregorianCalendar_getActualMaximum,"[icu enhancement] icu's replacement for gregorian calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,GregorianCalendar,calendar information,calendar information,calendar information,0.6298852562904358,calendar,calendar
396,Binder_dump,"base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by i binder  this class is an implementation of i binder that provides standard local implementation of such an object",sink,Binder,files,files,media,0.14000758528709412,files,media
397,Calendar_getMinimalDaysInFirstWeek,"[icu enhancement] icu's replacement for calendar  methods, fields, and other functionality specific to icu are labeled '[icu]'",source,Calendar,calendar information,calendar information,calendar information,0.5930222272872925,calendar,calendar
398,WallpaperManager_setResource,"provides access to the system wallpaper  with wallpaper manager, you can get the current wallpaper, get the desired dimensions for the wallpaper, set the wallpaper, and more",sink,WallpaperManager,log,media,media,0.2319435179233551,media,media
403,SSLContext_getDefault,instances of this class represent a secure socket protocol implementation which acts as a factory for secure socket factories or ssl engines  this class is initialized with an optional set of key and trust managers and source of secure random bytes,source,SSLContext,network information,network information,network information,0.272289901971817,network,network
409,ServerSocket_setReceiveBufferSize,"this class implements server sockets  a server socket waits for requests to come in over the network  it performs some operation based on that request, and then possibly returns a result to the requester",sink,ServerSocket,no category,network connection,network connection,0.5271661281585693,network,network
413,ClassLoader_getSystemResourceAsStream,"a class loader is an object that is responsible for loading classes  the class class loader is an abstract class   given the binary name of a class, a class loader should attempt to locate or generate data that constitutes a definition for the class   a typical strategy is to transform the name into a file name and then read a ""class file"" of that name from a file system",source,ClassLoader,network information,system settings,file information,0.5631318092346191,system settings,files
419,DownloadManager_openDownloadedFile,"the download manager is a system service that handles long running http downloads  clients may request that a uri be downloaded to a particular destination file  the download manager will conduct the download in the background, taking care of http interactions and retrying downloads after failures or across connectivity changes and system reboots",sink,DownloadManager,files,files,media,0.15537405014038086,files,media
423,DatagramSocket_getPort,this class represents a socket for sending and receiving datagram packets,source,DatagramSocket,no category,network connection,network connection,0.35983356833457947,network,network
426,URLConnection_getContentEncoding,"the abstract class url connection is the superclass of all classes that represent a communications link between the application and a url  instances of this class can be used both to read from and to write to the resource referenced by the url  in general, creating a connection to a url is a multistep process",source,URLConnection,no category,network connection,network information,0.1835092306137085,network,network
