key,class_name,class_description
UtteranceProgressListener_onError,utterance progress listener,"listener for events relating to the progress of an utterance through the synthesis queue. each utterance is associated with a call to texttospeech#speak or texttospeech#synthesizetofile with an associated utterance identifier, as per texttospeech.engine#key_param_utterance_id. the callbacks specified in this method can be called from multiple threads."
EntityResolver_resolveEntity,entity resolver,basic interface for resolving entities.
AlphabetIndexer_setCursor,alphabet indexer,"a helper class for adapters that implement the sectionindexer interface. if the items in the adapter are sorted by simple alphabet based sorting, then this class provides a way to do fast indexing of large lists using binary search. it caches the indices that have been determined through the binary search and also invalidates the cache if changes occur in the cursor."
SystemClock_elapsedRealtimeNanos,system clock,core timekeeping facilities.
Mac_doFinal,mac,"this class provides the functionality of a ""message authentication code"" (mac) algorithm."
PathMeasure_getPosTan,path measure,
DatePickerDialog_updateDate,date picker dialog,a simple dialog containing an datepicker.
KeyStore_load,key store,this class represents a storage facility for cryptographic keys and certificates.
StreamHandler_flush,stream handler,stream based logging handler.
Gallery_setUnselectedAlpha,gallery,
Timestamp_compareTo,timestamp,
SensorManager_flush,sensor manager,
Throwable_setStackTrace,throwable,this exception is thrown by the accesscontroller to indicate that a requested access (to a critical system resource such as the file system or the network) is denied.
IsolatedContext_sendOrderedBroadcast,isolated context,
CertPath_getEncodings,cert path,an immutable sequence of certificates (a certification path).
EffectContext_createWithCurrentGlContext,effect context,
Matrix2f_getArray,matrix2f,
DateFormatSymbols_getWeekdays,date format symbols,"[icu enhancement] icu's replacement for dateformatsymbols. methods, fields, and other functionality specific to icu are labeled '[icu]'."
SimpleAdapter_setViewImage,simple adapter,"an easy adapter to map static data to views defined in an xml file. you can specify the data backing the list as an arraylist of maps. each entry in the arraylist corresponds to one row in the list. the maps contain the data for each row. you also specify an xml file that defines the views used to display the row, and a mapping from keys in the map to specific views. binding data to views occurs in two phases. first, if a simpleadapter.viewbinder is available, viewbinder#setviewvalue(android.view.view, object, string) is invoked. if the returned value is true, binding has occurred. if the returned value is false, the following views are then tried in order:"
MediaRouter_getDefaultRoute,media router,this api is not recommended for new applications. use the androidxmedia router library for consistent behavior across all devices.
PrintedPdfDocument_getPageWidth,printed pdf document,this class is a helper for creating a pdf file for given print attributes. it is useful for implementing printing via the native android graphics apis.
Semaphore_acquireUninterruptibly,semaphore,"a counting semaphore.  conceptually, a semaphore maintains a set of permits.  each acquire() blocks if necessary until a permit is available, and then takes it.  each release() adds a permit, potentially releasing a blocking acquirer. however, no actual permit objects are used; the semaphore just keeps a count of the number available and acts accordingly."
ParsePosition_toString,parse position,parseposition is a simple class used by format and its subclasses to keep track of the current position during parsing. the parseobject method in the various format classes requires a parseposition object as an argument.
CursorWrapper_isClosed,cursor wrapper,wrapper class for cursor that delegates all calls to the actual cursor object.  the primary use for this class is to extend a cursor while overriding only a subset of its methods.
DocumentBuilderFactory_setAttribute,document builder factory,defines a factory api that enables applications to obtain a parser that produces dom object trees from xml documents.
FileInputStream_getFD,file input stream,a fileinputstream obtains input bytes from a file in a file system. what files are  available depends on the host environment.
Properties_storeToXML,properties,the properties class represents a persistent set of properties. the properties can be saved to a stream or loaded from a stream. each key and its corresponding value in the property list is a string.
TransitionInflater_from,transition inflater,"this class inflates scenes and transitions from resource files. information on xml resource descriptions for transitions can be found for r.styleable.transition, r.styleable.transitionset, r.styleable.transitiontarget, r.styleable.fade, and r.styleable.transitionmanager."
PKIXParameters_setTrustAnchors,p k i x parameters,parameters used as input for the pkix certpathvalidator algorithm.
ReplacementSpan_getSize,replacement span,draws the span into the canvas.
Ndef_get,ndef,provides access to ndef content and operations on a tag.
LineNumberInputStream_read,line number input stream,
AppWidgetManager_getAppWidgetOptions,app widget manager,updates appwidget state; gets information about installed appwidget providers and other appwidget related state.
CursorAdapter_newView,cursor adapter,adapter that exposes data from a cursor to a listview widget.
SSLSession_isValid,ssl session,"in ssl, sessions are used to describe an ongoing relationship between two entities.  each ssl connection involves one session at a time, but that session may be used on many connections between those entities, simultaneously or sequentially.  the session used on a connection may also be replaced by a different session.  sessions are created, or rejoined, as part of the ssl handshaking protocol. sessions may be invalidated due to policies affecting security or resource usage, or by an application explicitly calling invalidate. session management policies are typically used to tune performance."
Node_isEqualNode,node,"the node interface is the primary datatype for the entire document object model. it represents a single node in the document tree. while all objects implementing the node interface expose methods for dealing with children, not all objects implementing the node interface may have children. for example, text nodes may not have children, and adding children to such nodes results in a domexception being raised."
AbstractCursor_close,abstract cursor,this is an abstract cursor class that handles a lot of the common code that all cursors need to deal with and is provided for convenience reasons.
CertificateFactorySpi_engineGenerateCRL,certificate factory spi,"this class defines the service provider interface (spi) for the certificatefactory class. all the abstract methods in this class must be implemented by each cryptographic service provider who wishes to supply the implementation of a certificate factory for a particular certificate type, e.g., x.509."
Binder_isBinderAlive,binder,"base class for a remotable object, the core part of a lightweight remote procedure call mechanism defined by ibinder. this class is an implementation of ibinder that provides standard local implementation of such an object."
SQLiteProgram_bindNull,sqlite program,a base class for compiled sqlite programs.
ListFragment_getSelectedItemPosition,list fragment,
Channels_newOutputStream,channels,utility methods for channels and streams.
Compiler_compileClass,compiler,does nothing on android.
DHKey_getParams,d h key,the interface to a diffie hellman key.
ActivityOptions_update,activity options,"helper class for building an options bundle that can be used with context.startactivity(intent, bundle) and related methods."
RandomAccessFile_readByte,random access file,"instances of this class support both reading and writing to a random access file. a random access file behaves like a large array of bytes stored in the file system. there is a kind of cursor, or index into the implied array, called the file pointer; input operations read bytes starting at the file pointer and advance the file pointer past the bytes read. if the random access file is created in read/write mode, then output operations are also available; output operations write bytes starting at the file pointer and advance the file pointer past the bytes written. output operations that write past the current end of the implied array cause the array to be extended. the file pointer can be read by the getfilepointer method and set by the seek method."
Resources_getValueForDensity,resources,class for accessing an application's resources.  this sits on top of the asset manager of the application (accessible through getassets()) and provides a high level api for getting typed data from the assets.
ZipOutputStream_closeEntry,zip output stream,this class implements an output stream filter for writing files in the zip file format. includes support for both compressed and uncompressed entries.
SchemaFactory_setFeature,schema factory,factory that creates schema objects. entry point to the validation api.
CardEmulation_isDefaultServiceForAid,card emulation,"this class can be used to query the state of nfc card emulation services. for a general introduction into nfc card emulation, please read the  nfc card emulation developer guide."
ECParameterSpec_getOrder,e c parameter spec,this immutable class specifies the set of domain parameters used with elliptic curve cryptography (ecc).
AbstractPreferences_get,abstract preferences,"this class provides a skeletal implementation of the preferences class, greatly easing the task of implementing it."
SimpleTimeZone_inDaylightTime,simple time zone,"simpletimezone is a concrete subclass of timezone that represents a time zone for use with a gregorian calendar. the class holds an offset from gmt, called raw offset, and start and end rules for a daylight saving time schedule.  since it only holds single values for each, it cannot handle historical changes in the offset from gmt and the daylight saving schedule, except that the setstartyear method can specify the year when the daylight saving time schedule starts in effect."
InetSocketAddress_getHostName,inet socket address,"this class implements an ip socket address (ip address + port number) it can also be a pair (hostname + port number), in which case an attempt will be made to resolve the hostname. if resolution fails then the address is said to be unresolved but can still be used on some circumstances like connecting through a proxy."
CountDownLatch_await,count down latch,a synchronization aid that allows one or more threads to wait until a set of operations being performed in other threads completes.
